tactic,technique_id,technique,examples,detections,controls
Reconnaissance,T1592,Gather Victim Host Information,powershell.exe,PowerShell script block logging,Constrained Language Mode;ASR: Block PS abuse
Reconnaissance,T1590,Gather Victim Network Information,powershell.exe;net.exe,"Event logs 800, 4104",Least privilege;WDAC rules
Resource Development,T1587,Develop Capabilities,BYOL vulnerable driver,Driver load events,Microsoft Vulnerable Driver Blocklist
Initial Access,T1189,Drive-by Compromise,mshta.exe,Browser spawning mshta,Block mshta via WDAC
Initial Access,T1204,User Execution,rundll32.exe;wscript.exe,Office -> script interpreter chain,ASR: Block Office child processes
Execution,T1059.001,PowerShell,powershell.exe,"4104, 4103",CLM;AMSI on
Execution,T1218.005,Mshta,mshta.exe,Process ancestry alerts,WDAC/AppLocker
Execution,T1218.011,Rundll32,rundll32.exe,DLL path outside System32,Block non-Microsoft DLLs
Execution,T1218.010,Regsvr32,regsvr32.exe,/s /u /i with remote scrobj,Block scriptlets
Persistence,T1053.005,Scheduled Task,schtasks.exe,Security 4698,Restrict task creation
Persistence,T1547.001,Registry Run Keys,powershell.exe;reg.exe,Sysmon 13,WDAC;Registry ACLs
Persistence,T1137.001,Office Add-ins,BYOL Office add-in,Office add-in load logs,Signed add-ins only
Privilege Escalation,T1543.003,Create or Modify System Process: Windows Service,sc.exe;psexec.exe,7045,Service creation restrictions
Privilege Escalation,T1068,Exploitation for Privilege Escalation,BYOL vulnerable driver,Kernel driver loads,Driver blocklist
Defense Evasion,T1036,Masquerading,forfiles.exe,File path anomalies,App control
Defense Evasion,T1218,Signed Binary Proxy Execution,desktopimgdownldr.exe;odbcconf.exe,Unusual parents,Block rarely used LOLBins
Defense Evasion,T1553,Subvert Trust Controls,Old signed binaries,Signer mismatch,Smart App Control
Credential Access,T1003.001,LSASS Memory,rundll32.exe;procdump.exe,Sysmon 10,ASR LSASS credential theft
Discovery,T1082,System Information Discovery,systeminfo;wmic.exe,Process command-line,Block WMIC
Discovery,T1046,Network Service Scanning,powershell.exe,Firewall logs,Egress filtering
Lateral Movement,T1021.002,SMB/Windows Admin Shares,psexec.exe;wmic.exe,4624/4672 anomalies,Admin share restrictions
Collection,T1119,Automated Collection,powershell.exe,Large directory reads,DLP rules
Command and Control,T1105,Ingress Tool Transfer,certutil.exe;bitsadmin.exe;curl.exe,Web requests by system utilities,Block outbound for these apps
Command and Control,T1573,Encrypted Channel,curl.exe,JA3/JA4 anomalies,TLS inspection per policy
Exfiltration,T1041,Exfiltration Over C2 Channel,curl.exe,High-volume egress,"Rate limits, DLP"
Exfiltration,T1197,BITS Jobs,bitsadmin.exe,BITS job audit,Disable bitsadmin
Impact,T1490,Inhibit System Recovery,wmic.exe;vssadmin.exe,Event 25 VSS,Restrict VSS tools
